player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,region,league,zscore
Insider,KPI,"['cypher', 'killjoy', 'viper']",323,0.9400000000000001,186.3,1.0,67.0,129.2,0.65,0.17,0.1,0.08,34.0,19.0,emea,challengers,-1.014257799842424
KPZET,BAR,"['clove', 'viper', 'omen']",222,0.9400000000000001,177.5,0.89,73.0,118.4,0.62,0.38,0.07,0.09,37.0,14.0,emea,challengers,-0.33157127035084705
luckeRRR,SGE,"['yoru', 'sage', 'cypher']",206,0.93,191.3,0.9,74.0,124.7,0.64,0.31,0.11,0.1,22.0,6.0,emea,challengers,-3.610851376655686
Ambi,VLNT,"['kayo', 'jett', 'deadlock']",503,0.93,178.5,0.88,70.0,117.4,0.62,0.36,0.07,0.09,26.0,10.0,emea,challengers,-4.777173577050504
N,A,"['gekko', 'sova', 'harbor']",416,0.93,184.9,0.91,68.0,124.6,0.65,0.24,0.06,0.07,29.0,15.0,emea,challengers,-3.546136994172554
Grmekista,DIA,"['astra', 'killjoy', 'sova']",621,0.93,170.9,0.86,71.0,118.3,0.59,0.34,0.06,0.06,22.0,9.0,emea,challengers,-6.03545673996129
Vorwenn,BAR,"['cypher', 'clove', 'sova']",499,0.93,178.6,0.89,72.0,119.9,0.63,0.24,0.07,0.09,31.0,21.0,emea,challengers,-2.182832343119688
caydeN,DSY,"['brimstone', 'sage', 'omen']",351,0.92,171.5,0.86,72.0,113.6,0.58,0.44,0.09,0.08,24.0,13.0,emea,challengers,-3.516028901072174
LiriLia,KC.GC,"['breach', 'astra', 'gekko']",298,0.92,174.4,0.85,72.0,121.3,0.59,0.43,0.05,0.07,30.0,6.0,emea,gc,-3.599572658602702
bucher,FKS,"['omen', 'brimstone']",245,0.92,162.2,0.86,70.0,105.4,0.5700000000000001,0.4,0.05,0.07,39.0,7.0,emea,challengers,-4.2529520481707515
Loupiote,ZER.M,"['sova', 'gekko', 'skye']",348,0.92,165.3,0.87,75.0,108.9,0.58,0.31,0.05,0.07,22.0,17.0,emea,gc,-5.307935644205706
leeni,FKS.S,"['raze', 'jett']",262,0.92,208.4,0.91,65.0,138.3,0.71,0.19,0.22,0.19,20.0,10.0,emea,gc,-4.507096001878957
xenia,HOWL.M,"['skye', 'neon', 'jett']",240,0.92,209.5,0.96,64.0,142.1,0.74,0.2,0.18,0.18,29.0,9.0,emea,gc,-2.48080818543436
iluri,MOUZ,"['breach', 'skye', 'sova']",634,0.91,159.7,0.87,72.0,108.3,0.58,0.33,0.05,0.09,40.0,17.0,emea,challengers,-2.770415873940327
Nescargot,Team,"['omen', 'sova', 'viper']",298,0.91,173.7,0.88,68.0,115.4,0.61,0.27,0.06,0.09,34.0,6.0,emea,gc,-6.210742018211147
Wailers,M8,"['cypher', 'omen', 'killjoy']",212,0.91,166.4,0.92,73.0,114.7,0.61,0.21,0.05,0.04,37.0,3.0,emea,international,-4.281632963215331
alannn,NOVO,"['killjoy', 'cypher', 'viper']",416,0.91,191.0,0.9400000000000001,68.0,125.9,0.68,0.19,0.08,0.1,35.0,12.0,emea,challengers,-2.755165777068307
CyderX,GS,"['skye', 'harbor', 'sova']",221,0.91,158.5,0.85,71.0,112.2,0.56,0.26,0.02,0.04,35.0,21.0,emea,challengers,-3.852292172961547
elysian,FKS.S,"['skye', 'breach', 'sova']",262,0.91,172.7,0.88,74.0,117.5,0.63,0.34,0.05,0.05,30.0,13.0,emea,gc,-1.9063030203270461
runneR,VIT,"['killjoy', 'cypher', 'viper']",611,0.91,187.4,0.9,71.0,122.1,0.64,0.27,0.1,0.08,20.0,10.0,emea,international,-4.7558431727308275
Brädi,DOES,"['breach', 'fade', 'kayo']",201,0.9,163.4,0.8300000000000001,71.0,108.5,0.59,0.4,0.1,0.11,23.0,29.0,emea,challengers,-3.0510190792875562
glovee,GAL,"['sova', 'skye', 'fade']",629,0.9,171.1,0.84,71.0,114.7,0.6000000000000001,0.34,0.07,0.08,25.0,19.0,emea,challengers,-4.118112776024499
jas,JL,"['jett', 'neon', 'raze']",449,0.9,199.6,0.9400000000000001,68.0,130.9,0.6900000000000001,0.18,0.18,0.21,28.0,32.0,emea,challengers,-0.4666312448293
cullumx,ACE,"['kayo', 'reyna', 'iso']",375,0.9,192.6,0.91,66.0,128.9,0.68,0.29,0.11,0.12,39.0,9.0,emea,challengers,-1.464854670255452
Gianta,RFS,"['omen', 'viper', 'cypher']",240,0.9,162.3,0.8,71.0,111.0,0.58,0.4,0.08,0.05,31.0,19.0,emea,gc,-2.119248393961405
Serial,Aimb,"['gekko', 'cypher', 'deadlock']",300,0.9,196.7,0.96,65.0,127.2,0.71,0.17,0.07,0.14,45.0,12.0,emea,challengers,-2.167515339766586
Famzzam,SNS,"['viper', 'gekko', 'fade']",548,0.9,169.9,0.8300000000000001,71.0,111.4,0.58,0.32,0.06,0.08,25.0,12.0,emea,challengers,-6.554526296965257
